Intents,Input_Queries
atis_flight, i want to fly from boston at 838 am and arrive in denver at 1110 in the morning
atis_flight, what flights are available from pittsburgh to baltimore on thursday morning
atis_flight_time, what's the arrival time in sanfrancisco for the 755 am flight leaving washington
atis_airfare, cheapest airfare from tacoma to orlando
atis_airfare, round trip fares from pittsburgh to philadelphia under 1000 dollars
atis_flight, i need a flight tomorrow from columbus to minneapolis
atis_aircraft, what kind of aircraft is used on a flight from cleveland to dallas
atis_flight, show me the flights from pittsburgh to losangeles on thursday
atis_flight, all flights from boston to washington
atis_flight, show me the flights from dallas to sanfrancisco
atis_flight, show me the flights from sandiego to newark by way of houston
atis_airfare, show me the first class fares from boston to denver
atis_flight, all flights from denver to pittsburgh leaving after 6 pm and before 7 pm
atis_flight, i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore
atis_flight, please give me the flights from boston to pittsburgh on thursday of next week
atis_flight, show me the flights from sandiego to newark
atis_flight, please list all first class flights on united from denver to baltimore
atis_flight, show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm
atis_flight, i also need service from dallas to boston arriving by noon
atis_airfare, show me the cheapest round trip fare from baltimore to dallas
atis_flight, show me all flights from newyork to milwaukee on northwest airlines departing at 720 am
atis_flight, flights from newyork to miami
atis_flight, please find a flight on delta from philadelphia to sanfrancisco and give me the flight numbers
atis_flight, i need a flight from dallas to sanfrancisco
atis_airfare, fares and flights from pittsburgh to philadelphia
atis_flight, show flights from baltimore to sanfrancisco between 6 pm and 8 pm on friday
atis_airline, what airlines fly from newyork to milwaukee to losangeles
atis_flight, show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon
atis_flight, i need a flight from charlotte to newark leaving today evening
atis_flight_time, what are the times that you have planes leaving from sanfrancisco going to pittsburgh on july seventh
atis_flight, flights from newark to cleveland
atis_flight, what flights go from boston to pittsburgh after 6 o'clock next tuesday
atis_flight, what is the least expensive flight from denver to atlanta
atis_flight, what flight goes from denver to baltimore first class on united airlines arriving on may seventh
atis_airline, could you please tell me the airlines that fly from toronto to sandiego
atis_flight, what flights do you have from burbank to tacoma washington
atis_flight, find the latest flight from sanfrancisco to atlanta that serves a meal
