,intent,input,source,destination,output
0,atis_flight, i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,boston,denver,"Below are the flights from <source> and <destination> : <airline1> at <10>Am, <BA> at <12>pm"
1,atis_flight, what flights are available from pittsburgh to baltimore on thursday morning,pittsburgh,baltimore,"Below are the flights from <source> and <destination> : <airline1> at <10>Am, <BA> at <12>pm"
2,atis_flight_time, what is the arrival time in sanfrancisco for the 755 am flight leaving washington,washington,sanfrancisco,
3,atis_airfare, cheapest airfare from tacoma to orlando,tacoma,orlando,
4,atis_airfare, round trip fares from pittsburgh to philadelphia under 1000 dollars,pittsburgh,philadelphia,
5,atis_flight, i need a flight tomorrow from columbus to minneapolis,columbus,minneapolis,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
6,atis_aircraft, what kind of aircraft is used on a flight from cleveland to dallas,cleveland,dallas,
7,atis_flight, show me the flights from pittsburgh to losangeles on thursday,pittsburgh,losangeles,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
8,atis_flight, all flights from boston to washington,boston,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
9,atis_flight, show me the flights from dallas to sanfrancisco,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
10,atis_flight, show me the flights from sandiego to newark by way of houston,sandiego,newark,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
11,atis_airfare, show me the first class fares from boston to denver,boston,denver,
12,atis_flight, all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
13,atis_flight, i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,baltimore,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
14,atis_flight, please give me the flights from boston to pittsburgh on thursday of next week,boston,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
15,atis_flight, show me the flights from sandiego to newark,sandiego,newark,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
16,atis_flight, please list all first class flights on united from denver to baltimore,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
17,atis_flight, show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,boston,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
18,atis_flight, i also need service from dallas to boston arriving by noon,dallas,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
19,atis_airfare, show me the cheapest round trip fare from baltimore to dallas,baltimore,dallas,
20,atis_flight, show me all flights from newyork to milwaukee on northwest airlines departing at 720 am,newyork,milwaukee,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
21,atis_flight, flights from newyork to miami,newyork,miami,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
22,atis_flight, please find a flight on delta from philadelphia to sanfrancisco and give me the flight numbers,philadelphia,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
23,atis_flight, i need a flight from dallas to sanfrancisco,dallas,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
24,atis_airfare, fares and flights from pittsburgh to philadelphia,pittsburgh,philadelphia,
25,atis_flight, show flights from baltimore to sanfrancisco between 6 pm and 8 pm on friday,baltimore,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
26,atis_airline, what airlines fly from newyork to milwaukee to losangeles,newyork,milwaukee,
27,atis_flight, show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,boston,dallas,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
28,atis_flight, i need a flight from charlotte to newark leaving today evening,charlotte,newark,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
29,atis_flight_time, what are the times that you have planes leaving from sanfrancisco going to pittsburgh on july seventh,sanfrancisco,pittsburgh,
30,atis_flight, flights from newark to cleveland,newark,cleveland,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
31,atis_flight, what flights go from boston to pittsburgh after 6 o'clock next tuesday,boston,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
32,atis_flight, what is the least expensive flight from denver to atlanta,denver,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
33,atis_flight, what flight goes from denver to baltimore first class on united airlines arriving on may seventh,denver,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
34,atis_airline, could you please tell me the airlines that fly from toronto to sandiego,toronto,sandiego,
35,atis_flight, what flights do you have from burbank to tacoma washington,burbank,tacoma,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
36,atis_flight, find the latest flight from sanfrancisco to atlanta that serves a meal,sanfrancisco,atlanta,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
37,atis_flight, show me flights from boston to denver on wednesday,boston,denver,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
38,atis_flight, show me the flights from boston to baltimore,boston,baltimore,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
39,atis_flight, please give me the flights from sanfrancisco to washington dc,sanfrancisco,washington,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
40,atis_flight, i need information from denver to pittsburgh,denver,pittsburgh,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
41,atis_airfare, what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,pittsburgh,atlanta,
42,atis_flight, give me the flights leaving denver august ninth coming back to boston,denver,boston,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
43,atis_flight, what flights fly from denver to sanfrancisco on monday tuesday wednesday thursday and friday,denver,sanfrancisco,"Below are the flights from <source> and <destination> : airindia at 10Am, BA at 12pm"
